K1 with 1D blocks,,,,,
X-size,Y-size,Time,Gflops,,
8,1,"6,778678","20,275185","6,7670986","20,3098864"
8,1,"6,767777","20,307842",,
8,1,"6,764928","20,316395",,
8,1,"6,76863","20,305285",,
8,1,"6,765944","20,313345",,
8,1,"6,762777","20,322859",,
8,1,"6,766268","20,31237",,
8,1,"6,76421","20,318552",,
8,1,"6,764623","20,31731",,
8,1,"6,767151","20,309721",,
,,,,,
,,,,,
16,1,"3,512969","39,123306","3,5145108","39,1061494"
16,1,"3,513853","39,113464",,
16,1,"3,513944","39,11245",,
16,1,"3,513295","39,119675",,
16,1,"3,513632","39,115921",,
16,1,"3,516545","39,083515",,
16,1,"3,512964","39,123356",,
16,1,"3,514558","39,105618",,
16,1,"3,518044","39,066872",,
16,1,"3,515304","39,097317",,
32,1,"1,936201","70,983818","1,9356783","71,0030016"
32,1,"1,935985","70,991753",,
32,1,"1,934878","71,032349",,
32,1,"1,936094","70,98774",,
32,1,"1,935029","71,026833",,
32,1,"1,935435","71,011925",,
32,1,"1,93599","70,991562",,
32,1,"1,935994","70,991432",,
32,1,"1,936378","70,977333",,
32,1,"1,934799","71,035271",,
64,1,"1,878489","73,164627","1,878638","73,1588365"
64,1,"1,878635","73,158936",,
64,1,"1,878498","73,164261",,
64,1,"1,880921","73,070007",,
64,1,"1,878875","73,149605",,
64,1,"1,87823","73,174706",,
64,1,"1,877957","73,185364",,
64,1,"1,878503","73,164093",,
64,1,"1,878489","73,164635",,
64,1,"1,877783","73,192131",,
128,1,"1,922224","71,499977","1,9226107","71,4855927"
128,1,"1,922177","71,501709",,
128,1,"1,922568","71,48716",,
128,1,"1,922977","71,471977",,
128,1,"1,923221","71,462914",,
128,1,"1,922557","71,487564",,
128,1,"1,921922","71,511215",,
128,1,"1,922555","71,487656",,
128,1,"1,922668","71,483475",,
128,1,"1,923238","71,46228",,
256,1,"1,904697","72,157913","1,9064799","72,0904471"
256,1,"1,906051","72,106636",,
256,1,"1,907951","72,034866",,
256,1,"1,906026","72,107605",,
256,1,"1,906647","72,084106",,
256,1,"1,907922","72,035927",,
256,1,"1,906536","72,08831",,
256,1,"1,90703","72,069618",,
256,1,"1,905139","72,141167",,
256,1,"1,9068","72,078323",,
,,,,,
512,1,"1,864397","73,717659","1,8650575","73,6915436"
512,1,"1,864789","73,702126",,
512,1,"1,864702","73,705597",,
512,1,"1,864832","73,700439",,
512,1,"1,864389","73,717979",,
512,1,"1,865414","73,677467",,
512,1,"1,86544","73,676445",,
512,1,"1,865801","73,662163",,
512,1,"1,865399","73,67804",,
512,1,"1,865412","73,677521",,
,,,,,
1024,1,"1,858816","73,938965","1,8582221","73,9626206"
1024,1,"1,857417","73,994659",,
1024,1,"1,858707","73,943291",,
1024,1,"1,858419","73,954758",,
1024,1,"1,858555","73,949364",,
1024,1,"1,858126","73,966423",,
1024,1,"1,85751","73,990952",,
1024,1,"1,858712","73,943123",,
1024,1,"1,859738","73,902313",,
1024,1,"1,856221","74,042358",,
,,,,,
,,,,,
K2 with 2D blocks,,,,,
X-size,Y-size,Time,Gflops,,
2,512,"7,713441","17,818111","7,5528844","18,1995089"
2,512,"7,487785","18,355087",,
2,512,"7,385237","18,609959",,
2,512,"7,586131","18,117134",,
2,512,"7,579611","18,132719",,
2,512,"7,678391","17,899446",,
2,512,"7,56295","18,172667",,
2,512,"7,522819","18,269608",,
2,512,"7,48039","18,373234",,
2,512,"7,532089","18,247124",,
,,,,,
2,256,"7,455324","18,435007","7,3569314","18,6820965"
2,256,"7,355869","18,684258",,
2,256,"7,378225","18,627645",,
2,256,"7,330256","18,749544",,
2,256,"7,390002","18,597958",,
2,256,"7,326493","18,759172",,
2,256,"7,332325","18,744251",,
2,256,"7,314096","18,790968",,
2,256,"7,342345","18,718672",,
2,256,"7,344379","18,71349",,
,,,,,
2,128,"6,929828","19,832952","6,9559608","19,7585737"
2,128,"6,962526","19,739811",,
2,128,"6,949146","19,777819",,
2,128,"6,978432","19,694818",,
2,128,"6,955448","19,759899",,
2,128,"6,960985","19,744183",,
2,128,"6,962706","19,739302",,
2,128,"6,982537","19,683239",,
2,128,"6,955999","19,758335",,
2,128,"6,922001","19,855379",,
,,,,,
2,64,"5,776468","23,792906","5,7783382","23,7852162"
2,64,"5,780703","23,775475",,
2,64,"5,780331","23,777004",,
2,64,"5,775018","23,798878",,
2,64,"5,784252","23,760887",,
2,64,"5,780185","23,777607",,
2,64,"5,779088","23,78212",,
2,64,"5,777719","23,787752",,
2,64,"5,768609","23,825319",,
